title,project_description,keywords,gse,bioproject_id,bioproject_id_cohort,notes,timepoints,time_type,doses,human_disease,human_atlas,human_dataset,vaccine_type,pathogen_type,target_pathogen,target_antigen,viral_vector,adjuvanted,sample_source,administration_route,sequencing,organism_name
NA,"CD4+ T cell help is critical for optimal CD8+ T cell expansion after priming in many experimental systems. However, a role for CD4+ T cells in regulating the initial steps of CD8+ T cell effector differentiation is not well established. Here we demonstrate that absence of CD4+ T cells at the time of replication-incompetent adenovirus vector immunization of C57BL/6 mice led to immediate CD8+ T cell dysfunction characteristic of exhaustion at the first detectable timepoints as well as impaired expansion of antigen-specific CD8+ T cells. The absence of CD4+ T cell help resulted in antigen-specific CD8+ T cells that had reduced ex vivo cytotoxicity and decreased capacity to produce IFN-γ and TNF-α. CD8+ T cells primed in the absence of CD4+ T cells expressed elevated levels of the inhibitory receptors PD-1, LAG-3, and Tim-3, and these cells exhibited transcriptomic exhaustion profiles by gene set enrichment analysis. This dysfunctional state was imprinted within 3 days of immunization and could not be reversed by provision of CD4+ T cell help after priming. Partial rescue of unhelped CD8+ T cell expansion and effector differentiation could be achieved by PD-1 pathway blockade or recombinant IL-2 administration. This study identifies a novel, previously undescribed role of CD4+ T cells to prevent immediate dysfunction and features of exhaustion in CD8+ T cells following antigen priming. Overall design: Splenic AL11-specific CD8 T cells from mice immunized with Ad5HVR48(1-7)-SIV Gag and treated with anti-CD4 antibody or not were purified by FACS on day 14 post-immunization","adenovirus, tcd8, ad5hvr48",GSE73001,295965,,NA,14,Day,,No,No,No,Viral vector,virus,SIV,Gag protein,Ad5,NA,NA,?,Microarray,Mus musculus
Natural killer cell transcriptomics following vaccinia virus infection of mice,"RNA-seq analysis identified differentially regulated genes in purified NK cells isolated from naïve mice or those vaccinated with vaccinia virus. DEGs were compared with Overall design: Splenic NK cells were isolated by FACS from black 6 mice at day 0, day 1.5 and day 6.5 following intradermal inncoulation of mice with vaccinia virus strain Western Reserve. RNAseq was carried out on RNA extracted from these cells","vaccinia, nk cells, spleen",GSE225180,934308,,NA,0//1.5//6.5,Hour,,Yes,Yes,,Attenuated,virus,Smallpox,Whole,NA,?,Spleen (NK cells),?,Bulk,Mus musculus
mRNA expression profiles of antigen-specific CD8+ T cells induced by DNA prime-DNA boost and DNA prime-VACV boost immunization regimen,"Similar with others, our data proved that antigen-specific CD8+ T cells from mice primed with DNA and boosted by VACV were much more sensitive to antigen stimulation than those from DNA-boost. Since the mechanisms of in vivo tuning of antigen sensitivity (also termed functional avidity) is still not defined, we compared this two vaccination regimen at gene expression level. Results provide important information of which genes were selectively activated by VACV boost vaccination. For example, data shows that the expression levels of genes involved in Cancer and Wnt signaling pathways is more higher in DNA prime-VACV boost regimen that DNA prime-DNA boost vaccination. Overall design: To obtain sufficient of antigen-specific cells for microarray analysis, the OVA-specific CD8+ T cells from OT-1 mice were adoptively transferred into wild type mice and then immunized by DNA and VACV vaccine encoding OVA. Four week later, mice were scarificed and antigen-specific CD8+ T cells were emriched by CD45.1-PE antibody and anti-PE MicroBeads from splenocytes.Total RNA was extracted by the RNeasy Mini Kit (QIAGEN, Germany). Followed by amplification and biotin labeling, the samples were hybridized using Illumina Total Prep RNA Amplification Kit (Ambion, USA). Mouse WG-6v2 Expression BeadChips were used for analysis of transcriptome.","dna, vacv, ova",GSE51849,225605,,NA,4,Week,,NA,No,None,DNA,virus,Smallpox,OVA,NA,NA,Spleen (TCD8+),?,Microarray,Mus musculus
Organism-level analysis of vaccination reveals networks of protection across tissues,"Whole organs or CD8+ T cell populations sorted by FACS from tissues were isolated at various time points following vaccination with Vaccinia virus strain Modified Vaccinia Ankara (MVA; subcutaneously) and/or infection with strain Western Reserve (WR; intranasally). Total RNA was extracted from whole organs or sorted cell populations, RNA-seq libraries were prepared with a custom protocol, and sequenced at an average depth of ~5M/sample. Overall design: We compared three types of immune responses in vivo: (1) vaccinating (MVA only; 10^7 PFUs subcutaneously), (2) lethal (WR only; 10^7 PFUs intranasally), and (3) protective (MVA followed by WR challenge; same doses and routes as in 1 and 2, respectively). Overall, 6 datasets were generated from the following experiments and samples: (i) Whole-tissue samples from MVA, WR, MVA+WR cohorts with WR challenge at day 7, 21 (Exp. 1), or 80 (Exp. 2) in wild-type mice; (ii) Whole-tissue samples from MVA+WR at day 21 in wild-type versus knockout animals: Tcra-/- (Exp. 3), and Ifng-/-, Il22-/-, and Csf2-/- (Exp. 5); (iii) Sorted CD8+ T cell populations profiled from tissues of MVA-vaccinated (day 21) and control mice with (Exp. 6) or without (Exp. 4) intravascular staining (anti-CD45-PE antibody) to distinguish parenchyma-associated from vasculature-associated cells.","MVA, vaccinia, intranasal, subcutaneous, challenge, whole tissue, tcd8+",GSE87633,345545,,NA,0//0.5//1.5//3//5,Day,,Yes,Yes,MSigDB,Attenuated,virus,Smallpox,Vaccinia WR//MVA ,Vaccinia WR,NA,Several tissues,Intranasal//Subcutaneous,Bulk,Mus musculus
Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,"The failure to date of all S. aureus vaccine trials has been a conundrum and underlines fundamental flaws in current translational models. A major difference between humans and laboratory animals is the early and frequent exposure of humans to S. aureus compared to animals, which is not accounted for in vaccine studies. In recapitulating the failed IsdB human vaccine trial, we showed that mice previously infected with S. aureus do not mount a protective vaccine antibody response, unlike naïve mice. S. aureus infection induces robust but non-neutralizing anti-IsdB antibodies that target different but overlapping IsdB epitopes compared to IsdB vaccine. In the setting of prior S. aureus infection, however, IsdB vaccine recalls the non-protective humoral response which further competes and reduces efficacy of protective vaccine-generated specific antibodies.  Vaccination against the heme-binding domain of IsdB or select IsdB epitope can overcome interference by S. aureus infection. Using an adoptive transfer model, we showed that human serum antibodies against IsdB and another vaccine target, ClfA, are also non-protective and blocked anti-staphylococcal immunity conferred by passive immunizations. Overall, our study demonstrates proof of concept that failure of anti-S. aureus active and passive immunizations could be explained by non-protective imprint of prior host-pathogen interaction. Overall design: Single-cell immune profiling of the S.  aureus IsdB vaccine. In this study, we conducted BCR sequencing for three different samples: LAC (LAC-infected mice given adjuvant alone), LAC/IsdB (LAC-infected mice vaccinated with IsdB) and N/IsdB (Naïve mice vaccinated with IsdB).","s aureus, bacterium, scRNAseq, BCR seq",GSE193543,796575,,NA,?,,,Yes,No,No,Subunit,bacteria,Staphylococcus aureus,lsdB,NA,NA,NA,?,scRNAseq//BCRseq,Mus musculus
NA,"Differences in male vs. female immune responses are well-documented and have significant clinical implications. While the immunomodulatory effects of sex hormones are well established, the contributions of sex chromosome complement (XX vs. XY) and gut microbiome diversity on immune sexual dimorphisms have only recently become appreciated. Here we investigate the individual and collaborative influences of sex chromosome complements and gut microbiome bacteria on humoral immune activation. Sham-operated and gonadectomized male and female Four Core Genotype (FCG) mice were immunized with heat-killed Streptococcus pneumoniae (HKSP). Humoral immune responses were assessed and X-linked immune-related gene expression was evaluated to explain the identified XX-dependent phenotypes. Ex vivo studies investigated the functional role of Kdm6a, an X-linked epigenetic regulatory gene of interest, in mitogenic B cell activation. We further evaluated whether gut microbiome communities, or their metabolites, differentially influence immune cell activation in a sex chromosome-dependent manner. Endogenous gut microbiomes were antibiotically depleted and reconstituted with select short-chain fatty acid (SCFA)-producing bacteria prior to HKSP immunization and immune responses assessed. XX mice exhibited higher HKSP-specific IgM-secreting B cells and plasma cell frequencies than XY mice, regardless of gonadal sex. Although Kdm6a was identified as an X-linked gene overexpressed in XX B cells, inhibition of its enzymatic activity did not affect mitogen-induced plasma cell differentiation or antibody production in a sex chromosome-dependent manner ex vivo. Enhanced humoral responses in XX vs. XY immunized FCG mice were eliminated after microbiome depletion, indicating that the microbiome contributes to the identified XX-dependent immune enhancement. Reconstituting microbiota-depleted mice with select SCFA-producing bacteria increased humoral responses in XX, but not XY, FCG mice. This XX-dependent enhancement appears to be independent of SCFA production in males, while female XX-dependent responses relied on SCFAs. FCG mice have been used to assess sex hormones and sex chromosome complements influences on various sexually dimorphic traits. The current study indicates that the gut microbiome impacts humoral responses in an XX-dependent manner, suggesting that the collaborative influence of gut bacteria and other sex-specific factors should be considered when interpreting data aimed at delineating the mechanisms that promote sexual dimorphisms. Overall design: Four Core Genotype mice were immunized with heat-killed Streptococcus pneumoniae and euthanized one week later to evaluate gene expression through RNA-Seq.","streptococcus pneumoniae, inactivated,",GSE244866,1025029,,NA,1,Week,,Yes,No,No,Inactivated,bacteria,Streptococcus pneumoniae,Whole,NA,?,?,?,Bulk,Mus musculus
Immunization Induces Inflammation in the Mouse Heart during Spaceflight,"Space travel is a growing area of interest and includes initiatives such as NASA's Moon-to-Mars Mission. Studies conducted on the cardiovascular effects of space travel reveal changes in morphology, metabolism, and function. In this study, the cardiovascular response to immunization in space was studied in mice which were housed and immunized while on the International Space Station (ISS).  Mice were immunized with tetanus toxoid combined with the adjuvant CpG (TT+CpG) and the effects of vaccination in space were studied using transcriptomics. Analysis of the murine heart transcriptome was performed on ground, flight-control, and flight-immunized mice. Results showed that immunization aboard the ISS stimulates heightened inflammation in the heart via induction of the NF-κB signaling pathway. Overall design: Determine changes in differential expression of transcripts in the heart of mice immunized aboard the ISS.","tetanus toxoid, cpg, space,",GSE268421,1117072,,NA,NA,,,Yes,Yes,No,Toxoid,bacteria,Tetanus,Tetanus toxin,NA,CpG,Heart,?,Bulk,Mus musculus
CXCR3 signaling is required for restricted homing of parenteral TB vaccine-induced T cells to both the lung parenchyma and airway,"While most novel tuberculosis (TB) vaccines are designed for delivery via the muscle or skin for enhanced protection in the lung, it has remained poorly understood whether systemic vaccine-induced memory T cells can readily home to the lung mucosa prior to and shortly after pathogen exposure. We have investigated this issue by using a model of parenteral TB immunization and intravascular immunostaining. We find that systemically induced memory T cells are restricted to the blood vessels in the lung, unable to populate either the lung parenchymal tissue or the airway under homeostatic conditions. We further find that after pulmonary TB infection, it still takes many days before such T cells can enter the lung parenchymal tissue and airway. We have identified the acquisition of CXCR3 expression by circulating T cells to be critical for their entry to these lung mucosal compartments. Our findings offer new insights into mucosal T cell biology and have important implications in vaccine strategies against pulmonary TB and other intracellular infections in the lung. Overall design: To identify the potential molecular determinants of lung mucosal homing of systemically induced T cells, difference in transcriptional signature of parenteral TB immunization-induced Ag-specific CD8 T cells collected when they were largely in lung vasculature and after they homed to lung mucosal tissue following pulmonary Mycobacterium tuberculosis infection were analyzed by using Affymetrix Mouse Gene 2.0ST microarray. We elected to focus on days 0, 7 and 21 timepoints post-infection to compare the T cells located in lung vasculature (d0 & d7- largely resting memory T cells) with those in lung mucosal tissue (d21-largely secondary effector T cells.   RNA from purified CD8 T cells was isolated using RNeasy® Mini Kit (Qiagen, Germantown, MD, USA). Quality of RNA and subsequent microarray was carried out by Center for Applied Genomics of The Hospital for Sick Children, Toronto, Ontario, Canada. Quality of RNA samples were analyzed using the Agilent 2100 bioanalyzer, which uses RNA 6000 Nano LabChip platform (Agilent Technologies Canada Inc., Mississauga, ON, Canada). On average RNA integrity number (RIN) for all the samples included in the study were above 7. RNA samples were then subjected to RNA Microarray expression analysis using Mouse Gene 2.0ST Affymetrix array. This array contains protein-coding regions. Triplicate sets of lung cell-derived RNA samples per timepoint was generated (8 mice/set; 24 mice/timepoint)","tuberculosis, microarray",GSE100288,391259,,NA,0//7//21,Day,,Yes,Yes,?,Viral vector,bacteria,Tuberculosis,Ag85A,Ad5,NA,Lungs (TCD8) ,Intranasal//Parenteral,Microarray,Mus musculus
Whole genome profiling of murine lymphocytes and statistical validation of a panel of immune molecules to predict vaccine efficacy against Mycobacterium tuberculosis,"Transcriptional profiling of splenic lymphocytes derived from vaccinated mice, and ex-vivo exposed to M.tb.-infected macrophages in culture. Splenocytes from mice innoculated with Mycobacterium bovis BCG Pasteur (PAS), or M. bovis BCG Copenhagen (SSI), or heat killed BCG SSI (HK), or uninfected control, were ex vivo co-cultured with mouse bone marrow macrophages previously infected with M. tb. Overall design: Mouse splenocytes from 3 different immunizations (plus Naive control), after ex-vivo exposure to MtB infected macrophages in co-culture, were re-isolated and RNA extracted for Illumina microarray","tuberculosis, BCG",GSE135592,559380,,NA,NA,,,Yes,Yes,,Attenuated//Inactivated,bacteria,Tuberculosis,BCG_Strain1//BCG_Strain2,NA,NA,Spleen,?,Microarray,Mus musculus
Impact of metformin treatment on CD8 in non and BCG-vaccinated mice,"The aim is to identify important metabolic and immune signaling pathways in memory CD8 T cells regulated by metformin and understand its implications on BCG-vaccination Overall design: CD8 T cells sorted via MACS from mouse spleen, followed by sorting of memory CD8 T cells via FACS","bcg, metformin, sorting TCD8, spleen",GSE139948,587714,,Metformin co-innoculation,NA,,,Yes,Yes,MSigDB,Attenuated,bacteria,Tuberculosis,BCG,NA,NA,Spleen (TCD8+),?,Bulk,Mus musculus
Single cell transcriptional analysis reveals the effects of mucosal vaccination on mouse lung CD4 T cell compartments,"We report the results of single cell RNA sequencing (scRNA-seq) analysis on CD4+ T cells sorted from the lungs of mice vaccinated with a TB vaccine and infected with M. tuberculosis. To gain a more detailed understanding of the characteristics of the CD4 T cell response during M. tuberculosis infection and after mucosal vaccination, we performed scRNA-seq on CD4 T cells sorted from naïve and i.n. H1/ML-RR-cGAMP vaccinated infected mouse lungs at the peak of the T cell response, 3 weeks post infection. Subsets of CD4 T cells were manually annotated based on signature expression of lineage-specific transcription factor, cytokine, and cell surface markers. Overall design: Mouse lung CD4 T cells pooled from mock (PBS control) or mucosally vaccinated with H1/ML-RR-cGAMP vaccine (IN vacc) 3 weeks post M. tuberculosis infection, 3 mice pooled per sample.","scRNAseq, tuberculosis, challenge, lungs",GSE164590,691282,,"Vaccine, challenge and infection",3,Week,,Yes,Yes,No,Infection,bacteria,Tuberculosis,Whole,NA,NA,Lungs,?,scRNAseq,Mus musculus
Mycobacterium bovis-BCG vaccination induces a specific pulmonary transcriptome biosignature in mice,"In the present study, we applied microarray technology to define a biosignature from the whole genome expression in lung and spleen samples after BCG vaccination and M. bovis infection of BALB/c mice. The aims were two-fold, namely to define biosignatures that could predict vaccine success before challenge, and biomarker patterns that correlated with anamnestic protective responses following exposure to virulent M. bovis. Further, Our aim was to define these markers to be detectable without in vitro antigenic challenge. After BCG vaccination, we defined a specific pulmonary gene expression signature related to the connective tissue development and function network that predicted vaccine success before M. bovis challenge. In addition, a Th17-related cytokine profile was found that correlated with vaccine-induced protective immunity following infection with virulent M. bovis in the lung as well as additional genes that were up-regulated in the spleens of vaccinated animals post-infection that was related to neutrophil biology and inflammation. This study has therefore prioritized both biomarkers predicting vaccination success before challenge and bio-signatures that are associated with protective immune responses that will be useful to evaluate future vaccine candidates. Overall design: Two groups of 20 mice each were immunised by a single intradermal injection of 2 x 10 to 5 CFU of M. bovis BCG (Vaccinated), or Hanks buffered salt solution (HBSS) (Unvaccinated). Six weeks later 5 mice from each group were euthanized for immunological analyses and the remaining mice from each group were challenged with approx 600 CFU M. bovis via the intranasal route. At days 3 and 14 post challenge five mice per group were euthanized and spleens and lungs harvested.","microarray, bcg, lung, spleen",GSE21149,126627,126627_lungs,NA,6//3//14,Week//Day//Day,,Yes,Yes,MSigDB,Attenuated,bacteria,Tuberculosis,BCG,NA,NA,Lungs,Intradermal,Microarray,Mus musculus
Mycobacterium bovis-BCG vaccination induces a specific pulmonary transcriptome biosignature in mice,"In the present study, we applied microarray technology to define a biosignature from the whole genome expression in lung and spleen samples after BCG vaccination and M. bovis infection of BALB/c mice. The aims were two-fold, namely to define biosignatures that could predict vaccine success before challenge, and biomarker patterns that correlated with anamnestic protective responses following exposure to virulent M. bovis. Further, Our aim was to define these markers to be detectable without in vitro antigenic challenge. After BCG vaccination, we defined a specific pulmonary gene expression signature related to the connective tissue development and function network that predicted vaccine success before M. bovis challenge. In addition, a Th17-related cytokine profile was found that correlated with vaccine-induced protective immunity following infection with virulent M. bovis in the lung as well as additional genes that were up-regulated in the spleens of vaccinated animals post-infection that was related to neutrophil biology and inflammation. This study has therefore prioritized both biomarkers predicting vaccination success before challenge and bio-signatures that are associated with protective immune responses that will be useful to evaluate future vaccine candidates. Overall design: Two groups of 20 mice each were immunised by a single intradermal injection of 2 x 10 to 5 CFU of M. bovis BCG (Vaccinated), or Hanks buffered salt solution (HBSS) (Unvaccinated). Six weeks later 5 mice from each group were euthanized for immunological analyses and the remaining mice from each group were challenged with approx 600 CFU M. bovis via the intranasal route. At days 3 and 14 post challenge five mice per group were euthanized and spleens and lungs harvested.","microarray, bcg, lung, spleen",GSE21149,126627,126627_spleen,NA,6//3//14,Weeks//Day//Day,,Yes,Yes,MSigDB,Attenuated,bacteria,Tuberculosis,BCG,NA,NA,Spleen,Intradermal,Microarray,Mus musculus
Gene expression analysis of mouse alveolar macrophages infected with Mycobacterium tuberculosis isolated from BCG-vaccinated mice [balRNAseq],"The aim of this study was to measure the immune response of alveolar macrophages (AMs) from BCG-vaccinated mice to intracellular Mtb infection in vivo. We characterized the transcriptional profile of murine Mtb-infected AMs after aerosol infection by sorting cells from bronchoalveolar lavage fluid and performing low-input RNA-sequencing. Overall design: Mice were vaccinated sub-cutaneously with BCG-Pasteur and allowed to rest for 4 weeks. To characterize the early macrophage transcriptional response to Mtb infection, we infected mice with 2000-4000 CFU of mEmerald-H37Rv, and isolated AMs (CD45+, Zombie Violet-, CD3-/CD19-, Siglec-F+, CD11bmid, and CD64+) from BAL by fluorescence activated cell sorting at 24 hours following infection. Three populations were sorted for analysis by RNA-seq: Mtb-infected AMs (mEmerald+), bystander AMs (mEmerald-), and AMs from naïve mice.","BCG, subcutaneous, BAL lungs",GSE212202,874453,,NA,?,,,Yes,Yes,MSigDB,Attenuated,bacteria,Tuberculosis,BCG,NA,No,"Lungs (BAL, macrophages)",Subcutaneous,Bulk,Mus musculus
Gene expression analysis of alveolar macrophages from BCG-vaccinated and CoMtb mice stimulated ex vivo [exvivoRNAseq],"The aim of this study was to measure the response of alveolar macrophages (AMs) from BCG-vaccinated mice and mice with CoMtb to LPS, PAM3CSK4, and Mtb stimulation ex vivo. Overall design: Mice were vaccinated sub-cutaneously with BCG-Pasteur (1e6 CFU), or inoculated in the dermis of the ear with H37Rv (1e4 CFU)  and allowed to rest for 8 weeks. To characterize the  macrophage transcriptional response to each stimulus, AMs were isolated by bronchoalveolar lavage followed by plate adherence for 24 hours. AMs were stimulated with either LPS (10 ng/mL), Pam3CSK4 (10 ng/mL), or Mtb-H37Rv for 6 hours prior to RNA isolateion.","BCG, subcutaneous, ex vivo",GSE212203,874452,,NA,8,Week,,Yes,Yes,No,Attenuated,bacteria,Tuberculosis,BCG,NA,No,Lungs (BAL),Subcutaneous,RNAseq,Mus musculus
Single-cell gene expression analysis of pulmonary immune cells from BCG-vaccinated and CoMtb mice [scRNAseq],"The aim of this study was to measure effect of BCG vaccination or contained Mtb infection (CoMTB) on the expression profile of pulmonary immune cells. Overall design: Mice were vaccinated sub-cutaneously with BCG-Pasteur (1e6 CFU), or inoculated in the dermis of the ear with H37Rv (1e4 CFU)  and allowed to rest for 8 weeks. Pulmonary immune cells were isolate by bronchoalveolar lavage and analyzed by single-cll RNA-sequencing.","scRNAseq, BCG, lungs",GSE212204,874454,874454_lungs,NA,?,,,Yes,Yes,MSigDB,Attenuated,bacteria,Tuberculosis,BCG,NA,No,Lungs (BAL),Subcutaneous,scRNAseq,Mus musculus
BCG vaccination of mice elicits transcriptional changes in blood that predict protection against M.tb. challenge (house mouse),"Although BCG has been used for almost 100 years to immunize against Mycobacterium tuberculosis, TB remains a global public health threat.  Numerous clinical trials are underway studying novel vaccine candidates and strategies to improve or replace BCG, but vaccine development still lacks a well-defined set of immune correlates to predict vaccine-induced protection against tuberculosis.  This study aimed to address this gap by examining transcriptional responses to BCG vaccination in C57BL/6 inbred mice, coupled with protection studies using Diversity Outbred mice.  We evaluated relative gene expression in blood obtained from vaccinated mice, because blood is easily accessible and data can be translated to human studies.  We first determined that the average peak time after vaccination is 14 days for gene expression of a small subset of immune-related genes in inbred mice.  We then performed global transcriptomic analyses using whole blood samples obtained two weeks after mice were vaccinated with BCG.  Using comparative bioinformatic analyses and qRT-PCR validation, we developed a working correlate panel of 18 genes that were highly correlated with administration of BCG but not heat-killed BCG.  We then tested this gene panel using BCG-vaccinated Diversity Outbred mice and revealed associations between the expression of a subset of genes and disease outcomes after aerosol challenge with M. tuberculosis.  These data therefore demonstrate that blood-based transcriptional immune correlates measured within a few weeks after vaccination can be derived to predict protection against M. tuberculosis, even in outbred populations. Overall design: Comparison of gene expression profiles in whole blood at 14 days after vaccination with PBS or BCG in C57BL/6 mice","BCG, whole blood",GSE212586,876124,874454_blood,NA,14,Day,,Yes,Yes,MSigDB,Attenuated,bacteria,Tuberculosis,BCG,NA,No,Blood,?,Bulk,Mus musculus
Parenteral BCG vaccine induces respiratory mucosal-resident memory macrophages and trained innate immunity via the gut-lung axis I,"Besides centrally induced innate immune memory/trained immunity in the bone marrow/peripheral blood by parenteral vaccination or infection, recently emerging evidence suggests that the barrier mucosal tissue-resident innate immune memory may develop via a local inflammatory pathway following mucosal immunologic exposure. However, it remains unclear whether the mucosal-resident innate immune memory may result from integrating distally generated immunological signals following parenteral vaccination/infection.  We show here that subcutaneous Bacillus Calmette-Guérin (BCG) vaccination is able to induce memory alveolar macrophages (AM) and trained immunity at the respiratory barrier mucosa. Although parenteral BCG vaccine can centrally train bone marrow progenitors and circulating monocytes, induction of memory AM is entirely independent of circulating monocytes. Rather, parenteral BCG vaccination, via distal mycobacterial dissemination, causes a time-dependent alteration in gut microbiome, barrier function and microbial metabolites including short-chain fatty acids, and subsequently the changes in circulating and lung tissue metabolites, leading to induction of tissue-resident memory macrophages and trained innate immunity in the lung. Our study thus reveals a novel gut microbiota-mediated pathway for innate immune memory development at distal barrier mucosal tissues. Our findings have far-reaching implications in developing next-generation parenteral vaccine strategies against respiratory pathogens such as M.tb. Overall design: A mix of L-carnitine and butyrate hydrochloride was introduced to the drinking water (DW+M) of a group of naïve animals for a period of 3 weeks and as control, other animals received drinking water without supplements (DW). Alveolar macrophages were obtained by bronchoalveolar lavage and cultured in the presence (S) or absence (US) of stimulation with M. tuberculosis whole cell lysate for 16 h. Isolated RNA from the cultured cells were subjected to transcriptional analysis.","BCG, lungs BAL, rnaseq from cultured cells",GSE213340,880577,,NA,16,Hour,,Yes,Yes,MSigDB,Attenuated,bacteria,Tuberculosis,BCG,NA,No,Lungs (BAL),Subcutaneous,Bulk,Mus musculus
Parenteral BCG vaccine induces respiratory mucosal-resident memory macrophages and trained innate immunity via the gut-lung axis II,"Besides centrally induced innate immune memory/trained immunity in the bone marrow/peripheral blood by parenteral vaccination or infection, recently emerging evidence suggests that the barrier mucosal tissue-resident innate immune memory may develop via a local inflammatory pathway following mucosal immunologic exposure. However, it remains unclear whether the mucosal-resident innate immune memory may result from integrating distally generated immunological signals following parenteral vaccination/infection.  We show here that subcutaneous Bacillus Calmette-Guérin (BCG) vaccination is able to induce memory alveolar macrophages (AM) and trained immunity at the respiratory barrier mucosa. Although parenteral BCG vaccine can centrally train bone marrow progenitors and circulating monocytes, induction of memory AM is entirely independent of circulating monocytes. Rather, parenteral BCG vaccination, via distal mycobacterial dissemination, causes a time-dependent alteration in gut microbiome, barrier function and microbial metabolites including short-chain fatty acids, and subsequently the changes in circulating and lung tissue metabolites, leading to induction of tissue-resident memory macrophages and trained innate immunity in the lung. Our study thus reveals a novel gut microbiota-mediated pathway for innate immune memory development at distal barrier mucosal tissues. Our findings have far-reaching implications in developing next-generation parenteral vaccine strategies against respiratory pathogens such as M.tb. Overall design: Mice were vaccinated sub cutaneously with BCG (BCG) or carrier (PBS). At 5 weeks post-vaccination, airway alveolar macrophages isolated by bronchoalveolar lavage (BAL) was cultured in the presence (S) or absence (US) of stimulation with M. tuberculosis whole cell lysate for 16 h. Isolated RNA from the cultured cells were subjected to transcriptional analysis.","BCG, lungs BAL, rnaseq from cultured cells",GSE213342,880578,,NA,16,Hour,,Yes,Yes,MSigDB,Attenuated,bacteria,Tuberculosis,BCG,NA,No,Lungs (BAL),Subcutaneous,Bulk,Mus musculus
Transcriptomic profiling of mouse spleen mascrophages following adjuvant vaccination (house mouse),"Trained immunity is the phenomenon whereby innate immune cells such as monocytes or macrophages undergo functional reprogramming after exposure to certain microbial components, altering their responses to future exposures. Intravesical instillation with Bacillus Calmette-Guérin (BCG) is the most effective adjuvant therapy in patients with high-risk non-muscle invasive bladder cancer (HR-NMIBC). HR-NMIBC is associated with a high risk of tumor recurrence and progression to muscle-invasive bladder cancer. The precise immunological mechanisms through which BCG mediates anti-tumor immunity are still unclear. The aim of our study was to investigate the (long-term) induction of trained immunity by repeated BCG instillations in NMIBC patients and elucidate the immunological and epigenetic mechanisms that are involved. Another aim was to assess the relationship between trained immunity response and clinical response of NMIBC patients, in terms of recurrence free survival and progression free survival. To determine whether BCG instillations induce trained immunity in peripheral blood mononuclear cells (PBMCs) we performed a prospective cohort study (‘Tribute’) and isolated PBMCs collected before BCG therapy and at 8 time points during BCG therapy. A total of 17 BCG-naïve HR-NMIBC patients were included. After isolation of PBMCs, monocytes were further purified using an isolation procotol with a percoll gradient. RNA was isolated from these purified monocytes were and used as input for RNA-seq analysis. Overall design: Blood was collected using venapuncture and PBMCs were isolated at three time points during the BCG induction cycle: pre-BCG1, BCG2 and BCG6; and two time points during each subsequent BCG maintenance cycle: pre-BCG7, BCG9, pre-BCG10, BCG12, pre-BCG13 and BCG15. For each donor one replicate for each time point was included. RNA from purified monocytes was isolated for the time points pre-BCG1, BCG6, and pre-BCG7 and the RNA-seq data was analysed. For some patients RNA-seq data for the pre-BCG10 time point was also available, but this time point was not included in the analysis because not every patient had data available for this time point. Comparisons for differentially expressed genes were made using the pre-BCG1 time point as a reference.","bcg, spleen macrophages",GSE216062,891883,,NA,?,,,Yes,Yes,MSigDB,Attenuated,bacteria,Tuberculosis,BCG,NA,No,Spleen (macrophages),?,Bulk,Mus musculus
